issuer_name_raw,card_name,source_url
체크카드,커넥트 하나로 체크카드,https://www.card-gorilla.com/card/detail/2920
UNKNOWN,수협 ALL드림,https://www.card-gorilla.com/card/detail/2925
바로카드,BC 바로 Air Master 카드,https://www.card-gorilla.com/card/detail/2926
바로카드,BC 바로 Air Max 카드,https://www.card-gorilla.com/card/detail/2927
바로카드,BC 바로 ZONE 카드,https://www.card-gorilla.com/card/detail/2928
더아우름카드,The Aureum(더 아우름)카드,https://www.card-gorilla.com/card/detail/2932
IBK나라사랑카드,IBK나라사랑카드,https://www.card-gorilla.com/card/detail/2941
UNKNOWN,BLISS Mileage,https://www.card-gorilla.com/card/detail/2958
UNKNOWN,BLISS Point,https://www.card-gorilla.com/card/detail/2959
체크카드,우체국 MY-TYPE 체크카드,https://www.card-gorilla.com/card/detail/2976
